,brick,Cód. Filial
111,1195 - JAGUARIAIVA,887
112,1198 - UNIAO VITORIA,947
113,1206 - PATO BRANCO,798
114,1206 - PATO BRANCO,906
115,1208 - FRANCISCO BELTRAO,919
116,1208 - FRANCISCO BELTRAO,668
117,1210 - CASCAVEL,885
118,1210 - CASCAVEL,886
119,1210 - CASCAVEL,896
120,1210 - CASCAVEL,903
121,1210 - CASCAVEL,970
122,1210 - CASCAVEL,377
123,1210 - CASCAVEL,413
124,1210 - CASCAVEL,493
125,1210 - CASCAVEL,500
126,1210 - CASCAVEL,671
127,1213 - FOZ DO IGUACU,882
128,1213 - FOZ DO IGUACU,351
129,1216 - TOLEDO,961
130,1217 - NOVA STA ROSA,897
131,1217 - NOVA STA ROSA,949
132,1221 - LOND.S.PEDRO I,924
133,1222 - LOND S.NEVES,685
134,1223 - LOND.IPIRANGA,821
135,1223 - LOND.IPIRANGA,375
136,1223 - LOND.IPIRANGA,379
137,1226 - CASONI,515
138,1228 - SAN FERNANDO,505
139,1229 - UNIVERSIDADE,376
140,1229 - UNIVERSIDADE,498
141,1229 - UNIVERSIDADE,676
142,1230 - CINCO CONJUNTOS,813
143,1231 - B.VISTA PARAISO,933
144,1233 - CORNELI PROCOPIO,861
145,1238 - ARAPONGAS,422
146,1238 - ARAPONGAS,430
147,1238 - ARAPONGAS,598
148,1239 - APUCARANA,878
149,1239 - APUCARANA,418
150,1241 - MARINGA,900
151,1241 - MARINGA,391
152,1243 - CIANORTE,912
153,1243 - CIANORTE,419
154,1245 - IRETAMA,836
155,1248 - UMUARAMA,913
156,1249 - PEROLA,434
157,1251 - PARANAVAI,395
158,1254 - FLOR.RODOVIARIA,301
159,1254 - FLOR.RODOVIARIA,660
160,1254 - FLOR.RODOVIARIA,739
161,1254 - FLOR.RODOVIARIA,804
162,1254 - FLOR.RODOVIARIA,839
163,1254 - FLOR.RODOVIARIA,859
164,1254 - FLOR.RODOVIARIA,894
165,1254 - FLOR.RODOVIARIA,374
166,1255 - HOSP.CELSO RAMOS,765
167,1255 - HOSP.CELSO RAMOS,874
168,1255 - HOSP.CELSO RAMOS,711
169,1255 - HOSP.CELSO RAMOS,823
170,1255 - HOSP.CELSO RAMOS,901
171,1255 - HOSP.CELSO RAMOS,504
172,1256 - HOSP.CARIDADE,738
173,1256 - HOSP.CARIDADE,748
174,1257 - TRINDADE,576
175,1257 - TRINDADE,787
176,1257 - TRINDADE,834
177,1257 - TRINDADE,902
178,1257 - TRINDADE,921
179,1257 - TRINDADE,937
180,1257 - TRINDADE,944
181,1257 - TRINDADE,958
182,1257 - TRINDADE,971
183,1257 - TRINDADE,506
184,1257 - TRINDADE,516
185,1257 - TRINDADE,461
186,1257 - TRINDADE,626
187,1257 - TRINDADE,665
188,1257 - TRINDADE,675
189,1257 - TRINDADE,677
190,1257 - TRINDADE,304
191,1258 - ESTREITO,181
192,1258 - ESTREITO,726
193,1258 - ESTREITO,707
194,1258 - ESTREITO,907
195,1258 - ESTREITO,925
196,1258 - ESTREITO,520
197,1258 - ESTREITO,548
198,1258 - ESTREITO,658
199,1259 - SAO JOSE,693
200,1259 - SAO JOSE,788
201,1259 - SAO JOSE,335
